en,820
nn,584
ml,350
ja,213
de,172
fr,119
ku,100
gu,68
ko,59
ar,52
pl,40
ru,38
da,37
cs,35
br,32
ms,29
nl,25
la,21
it,21
srn,20
eo,19
fa,18
mis,16
fi,15
es,15
he,13
et,10
ka,8
fo,8
jv,7
vi,5
id,5
hr,5
hi,5
ca,5
sv,4
hsb,4
grc,4
be,4
se,3
pt,3
fy,3
cy,3
cu,3
ab,3
sr,2
nb,2
myv,2
mi,2
lv,2
is,2
hy,2
hu,2
eu,2
dsb,2
csb,2
bn,2
arz,2
ang,2
zh,1
yo,1
wa,1
uz,1
ur,1
uk,1
tr,1
th,1
smj,1
sl,1
sk,1
shy,1
shi,1
sh,1
sa,1
rue,1
rm,1
prg,1
ota,1
oc,1
no,1
ne,1
my,1
mk,1
mhr,1
lt,1
got,1
ga,1
bg,1
am,1
af,1
